phoneme, voiced, vowel
AA0, 1, 1
AA1, 1, 1
AA2, 1, 1
AE0, 1, 1
AE1, 1, 1
AE2, 1, 1
AH0, 1, 1
AH1, 1, 1
AH2, 1, 1
AO0, 1, 1
AO1, 1, 1
AO2, 1, 1
AW0, 1, 1
AW1, 1, 1
AW2, 1, 1
AY0, 1, 1
AY1, 1, 1
AY2, 1, 1
B, 0, 0
CH, 0, 0
D, 0, 0
DH, 0, 0
EH0, 1, 1
EH1, 1, 1
EH2, 1, 1
ER0, 1, 0
ER1, 1, 0
ER2, 1, 0
EY0, 1, 1
EY1, 1, 1
EY2, 1, 1
F, 0, 0
G, 0, 0
HH, 0, 0
IH0, 1, 1
IH1, 1, 1
IH2, 1, 1
IY0, 1, 1
IY1, 1, 1
IY2, 1, 1
JH, 0, 0
K, 0, 0
L, 1, 0
M, 1, 0
N, 1, 0
NG, 0, 0
OW0, 1, 1
OW1, 1, 1
OW2, 1, 1
OY0, 1, 1
OY1, 1, 1
OY2, 1, 1
P, 0, 0
R, 1, 0
S, 0, 0
SH, 0, 0
T, 0, 0
TH, 0, 0
UH0, 1, 1
UH1, 1, 1
UH2, 1, 1
UW0, 1, 1
UW1, 1, 1
UW2, 1, 1
V, 1, 0
W, 1, 0
Y, 1, 0
Z, 1, 0
ZH, 1, 0
br, 0, 0
cg, 0, 0
lg, 0, 0
ls, 0, 0
ns, 0, 0
sil, 0, 0
sp, 0, 0
